zone_id,production,attraction,out_degree,in_degree,weighted_degree,net_flow
1383,2861.202703,2904.171221,508,504,1012,-42.96851800000013
1352,10844.043069,10831.023946,508,508,1016,13.019123000000036
1350,4947.163513,4996.805612,508,508,1016,-49.64209899999969
1353,986.915838,1018.701089,508,508,1016,-31.785251000000017
1354,1247.220561,1252.099129,508,503,1011,-4.878567999999859
1453,3045.907786,2552.646541,508,508,1016,493.26124500000014
1472,2821.654404,2497.287929,508,508,1016,324.3664749999998
1500,1878.293916,1773.117202,508,508,1016,105.17671400000017
1473,13646.451809,11870.691099,508,508,1016,1775.7607100000005
1362,786.882859,780.610993,506,508,1014,6.2718660000000455
1474,16045.54148,14396.755945,508,508,1016,1648.785534999999
1363,261.983423,265.96365099999997,508,508,1016,-3.980227999999954
1361,95.572305,93.701557,508,508,1016,1.870748000000006
1114,565.960348,563.413168,508,508,1016,2.547179999999912
1115,850.141187,832.980041,508,508,1016,17.161145999999917
1034,854.626292,832.408064,508,508,1016,22.218228000000067
1028,3171.898017,3155.247792,508,508,1016,16.650224999999864
1033,450.924958,446.020619,508,508,1016,4.904338999999993
1027,2182.620954,2157.540126,508,508,1016,25.08082800000011
1061,2698.915542,2671.384889,508,508,1016,27.530653000000257
1437,151.430391,151.04942,508,508,1016,0.3809709999999882
1438,1832.757881,1795.617064,508,508,1016,37.14081699999997
1076,333.11198,329.426992,508,508,1016,3.6849880000000326
1006,306.009077,303.062867,508,508,1016,2.9462100000000078
1112,982.497937,967.179359,508,508,1016,15.318578000000002
1002,2761.138897,2728.5033,508,508,1016,32.63559699999996
1113,1483.873212,1457.910964,508,508,1016,25.962248000000045
1110,4740.284332,4658.143243,508,508,1016,82.14108899999974
1123,2230.88012,2204.50339,508,508,1016,26.376729999999952
1125,2430.743235,2399.59227,508,508,1016,31.150964999999815
1057,1935.954019,1916.16531,508,508,1016,19.788708999999926
1026,1867.128914,1845.99008,508,508,1016,21.13883399999986
1025,2243.008485,2232.365565,508,508,1016,10.642919999999776
1150,1436.971161,1474.373664,495,505,1000,-37.402503000000024
1400,1025.64197,1034.76046,502,508,1010,-9.118490000000065
1144,809.99378,813.1011129999999,504,508,1012,-3.107332999999926
1151,1246.8292959999999,1247.198203,502,508,1010,-0.3689070000000356
1401,622.852551,626.865427,504,508,1012,-4.012876000000006
1399,162.936283,163.117881,504,508,1012,-0.18159800000000814
1396,1015.49776,1032.368088,504,508,1012,-16.870327999999972
1398,652.454727,655.331129,503,508,1011,-2.8764019999999846
1182,1149.470342,1155.563976,500,505,1005,-6.093633999999838
1183,649.677101,669.961189,492,498,990,-20.284087999999997
1404,1156.717492,1188.107348,495,504,999,-31.38985600000001
1153,944.565621,962.070429,502,508,1010,-17.504808000000025
1152,1985.52396,1984.930449,506,508,1014,0.593511000000035
1395,716.447431,701.988322,508,508,1016,14.459109000000012
1122,37.118546,37.45579,508,508,1016,-0.3372439999999983
1001,6312.906033,6181.8645,508,508,1016,131.04153300000053
1116,391.582639,384.888927,508,508,1016,6.693711999999948
1117,389.50904,379.92620900000003,508,508,1016,9.582830999999999
1121,3.7949859999999997,3.746173,508,508,1016,0.04881299999999955
1120,2395.943703,2343.629926,508,508,1016,52.313776999999845
1119,1618.986208,1593.127889,508,508,1016,25.858318999999938
1141,2631.040355,2577.558834,508,508,1016,53.48152100000016
1397,1952.996588,1955.9316019999999,506,508,1014,-2.93501399999991
1394,1798.918799,1804.916841,508,508,1016,-5.998041999999941
1111,1904.02847,1865.346811,508,508,1016,38.68165900000008
1108,2244.813024,2230.151803,508,508,1016,14.661220999999841
1109,796.346385,783.696128,508,508,1016,12.65025700000001
1124,801.016365,787.514992,508,508,1016,13.501372999999944
1118,462.773232,455.981797,508,508,1016,6.791435000000035
1004,4638.559622,4608.802853,508,508,1016,29.756768999999622
1126,574.315809,567.986092,508,508,1016,6.32971699999996
1128,1288.575687,1276.555028,508,508,1016,12.020659000000023
1127,617.646328,607.255505,508,508,1016,10.390823000000069
1003,593.493806,585.41667,508,508,1016,8.077135999999996
1005,1987.111188,1973.249425,508,508,1016,13.86176300000011
1007,199.414301,200.31016,508,508,1016,-0.8958590000000015
1037,492.140531,504.419859,508,508,1016,-12.279327999999964
